Hora,Delta Pn
0,0
1,7.1
2,12.01959
3,20.1181542782319
4,33.02682041871841
5,52.463027977025504
6,78.85234249753785
7,108.16116461562186
8,128.1362565545021
9,121.5220608170383
10,84.91028642497207
11,41.80055956217063
12,15.281449955465234
13,4.714297111339874
14,1.360085449596113
15,0.3841260693595814
16,0.10781791973295185
17,0.03020969038414023
18,0.008460335900508653
19,0.002369021303820773
20,0.0006633359424768059
