Hora Delta_Pn
0 0 10
1 7.1 17.1
2 12.01959 29.119590000000002
3 20.1181542782319 49.2377442782319
4 33.02682041871841 82.26456469695032
5 52.463027977025504 134.72759267397583
6 78.85234249753785 213.5799351715137
7 108.16116461562186 321.74109978713557
8 128.1362565545021 449.87735634163766
9 121.5220608170383 571.399417158676
10 84.91028642497207 656.309703583648
11 41.80055956217063 698.1102631458186
12 15.281449955465234 713.3917131012838
13 4.714297111339874 718.1060102126238
14 1.360085449596113 719.46609566222
15 0.3841260693595814 719.8502217315796
16 0.10781791973295185 719.9580396513126
17 0.03020969038414023 719.9882493416966
18 0.008460335900508653 719.996709677597
19 0.002369021303820773 719.9990786989009
20 0.0006633359424768059 719.9997420348434
